rider_id,months_on_zypp,days_worked_per_month,deliveries_per_month,monthly_earnings_inr,earnings_volatility,work_consistency,ev_usage_hours_per_month,missed_payments,on_time_payment_rate,rental_months_completed,loan_amount_inr,loan_term_months,monthly_emi_inr,work_score_rule_based,loan_repaid
R100136,4,23,714,20540,0.114,0.822,161.0,1,0.92,2,95000,36,2956,78.2,0
R100137,7,17,437,16973,0.334,0.671,113.8,3,0.727,5,76000,24,3547,56.3,0
R100138,3,21,610,22051,0.364,0.863,124.4,1,0.877,1,70000,24,3267,62.3,1
R100139,6,21,448,8312,0.204,0.912,129.6,1,0.879,4,86000,30,3211,70.0,1
R100140,7,22,550,18338,0.214,0.808,158.2,1,0.869,7,100000,18,6222,70.1,0
R100141,11,25,444,12873,0.14,0.905,136.4,0,0.903,8,72000,24,3360,76.6,0
R100142,3,25,641,21323,0.35,0.715,127.4,1,0.879,2,81000,24,3780,60.5,0
R100143,23,17,384,9525,0.317,0.809,113.1,1,0.861,11,70000,30,2613,70.6,0
R100144,7,13,314,8612,0.21,0.721,107.6,1,0.83,5,69000,24,3220,61.7,1
R100145,14,23,634,17296,0.279,0.684,92.9,2,0.785,12,73000,36,2271,69.1,0
R100146,7,17,312,9088,0.366,0.768,113.8,2,0.683,4,94000,24,4387,53.0,1
R100147,12,21,502,15212,0.337,0.803,156.5,1,0.841,7,54000,36,1680,64.8,1
R100148,11,24,556,16703,0.157,0.938,157.5,0,0.887,7,94000,30,3509,78.9,1
R100149,24,21,361,8000,0.252,0.882,134.1,0,0.947,11,82000,18,5102,76.5,0
R100150,10,24,665,18185,0.237,0.921,137.3,1,0.863,7,78000,36,2427,76.0,1
R100151,10,21,489,10183,0.419,0.795,127.4,2,0.938,8,95000,12,8867,59.9,1
R100152,5,23,381,14090,0.221,0.859,113.7,3,0.824,3,90000,24,4200,64.9,0
R100153,3,24,731,15299,0.337,0.85,152.6,1,0.923,1,92000,24,4293,66.9,0
R100154,14,19,448,14265,0.241,0.973,163.2,2,0.885,9,88000,30,3285,74.4,0
R100155,14,21,530,18160,0.156,0.882,139.5,0,0.91,13,74000,30,2763,79.0,1
R100156,13,22,399,15154,0.395,0.741,73.0,2,0.78,6,95000,30,3547,57.7,0
R100157,20,20,533,10654,0.211,0.781,130.6,1,0.946,15,75000,18,4667,78.2,0
R100158,11,23,664,15834,0.303,0.889,139.5,1,0.877,8,69000,24,3220,72.7,1
R100159,8,22,463,12072,0.266,0.908,149.5,0,0.945,6,69000,24,3220,69.1,1
R100160,12,27,688,19243,0.17,0.816,170.1,1,0.897,9,40000,36,1244,79.6,1
R100161,10,23,610,12421,0.397,0.873,141.5,1,0.782,8,77000,24,3593,64.3,0
R100162,4,22,466,12824,0.192,1.0,145.8,0,0.933,2,71000,18,4418,72.4,0
R100163,22,22,475,19877,0.214,0.839,139.5,0,0.917,10,69000,24,3220,78.6,0
R100164,7,21,475,11726,0.256,0.854,147.3,0,0.937,6,88000,12,8213,67.6,1
R100165,10,21,552,20348,0.418,0.778,94.8,2,0.752,5,91000,18,5662,59.4,0
R100166,7,20,438,15300,0.314,0.803,138.3,1,0.881,5,40000,18,2489,62.1,1
R100167,24,16,235,9535,0.431,0.73,79.0,2,0.71,18,41000,24,1913,57.8,0
R100168,8,22,462,9660,0.429,0.822,116.3,1,0.89,3,78000,30,2912,57.4,0
R100169,26,27,554,10732,0.213,0.888,147.5,0,1.0,14,43000,30,1605,84.0,0
R100170,6,18,426,12996,0.353,0.731,109.2,2,0.764,4,75000,36,2333,56.2,0
R100171,17,14,310,9686,0.445,0.779,117.1,3,0.747,16,77000,24,3593,56.3,0
R100172,10,21,577,13807,0.23,0.898,135.2,1,0.851,5,74000,36,2302,73.7,1
R100173,3,18,450,14557,0.228,0.708,85.9,1,0.78,3,62000,30,2315,60.9,0
R100174,26,12,224,8650,0.301,0.711,125.0,3,0.806,23,102000,24,4760,64.8,0
R100175,6,22,393,8000,0.273,0.829,114.7,2,0.839,5,40000,30,1493,62.5,0
R100176,9,27,550,14526,0.328,1.0,144.8,1,0.913,6,101000,18,6284,70.2,0
R100177,13,17,374,13633,0.259,0.806,128.4,2,0.815,8,77000,36,2396,66.6,1
R100178,4,30,787,22094,0.117,1.0,167.2,0,0.963,3,40000,30,1493,85.1,0
R100179,7,25,548,20862,0.266,0.891,155.6,0,0.896,6,48000,36,1493,69.4,1
R100180,9,25,659,20729,0.421,0.853,128.0,1,0.798,9,76000,12,7093,63.7,0
R100181,3,24,421,8000,0.198,0.8,117.5,2,0.746,2,101000,24,4713,63.6,0
R100182,13,20,428,10267,0.462,0.874,100.8,1,0.833,10,79000,30,2949,58.6,0
R100183,4,20,441,10627,0.113,0.941,161.0,0,1.0,4,74000,18,4604,75.3,1
R100184,17,21,397,8000,0.199,0.813,95.1,1,0.834,13,80000,36,2489,73.0,1
R100185,22,21,394,11970,0.244,0.711,105.4,2,0.742,15,52000,24,2427,70.2,0
R100186,18,21,778,21613,0.272,0.781,159.0,2,0.758,10,66000,18,4107,77.6,0
R100187,19,27,818,23576,0.158,1.0,133.3,0,0.99,16,67000,18,4169,92.9,1
R100188,9,25,487,8886,0.196,0.9,156.6,1,0.92,9,77000,30,2875,73.5,1
R100189,4,15,386,9064,0.328,0.703,94.6,2,0.751,3,89000,24,4153,54.0,0
R100190,21,22,425,13530,0.192,0.746,114.0,2,0.833,12,65000,36,2022,75.0,0
R100191,7,14,310,8232,0.464,0.683,78.0,3,0.658,6,74000,24,3453,45.5,0
R100192,11,20,346,9663,0.311,0.638,107.4,2,0.75,6,79000,18,4916,56.6,0
R100193,5,21,388,11887,0.348,0.745,164.6,2,0.817,5,44000,24,2053,55.8,0
R100194,5,21,523,15299,0.311,0.898,144.0,1,0.887,4,96000,36,2987,65.3,0
R100195,13,11,221,8000,0.402,0.616,91.6,3,0.649,12,88000,18,5476,48.7,0
R100196,11,29,729,18000,0.225,0.807,124.2,1,0.85,5,64000,18,3982,76.5,0
R100197,3,19,430,9160,0.17,0.685,98.8,2,0.768,2,90000,12,8400,62.7,0
R100198,7,15,236,8000,0.431,0.716,87.5,2,0.719,6,79000,18,4916,46.9,0
R100199,32,24,474,12068,0.285,0.869,147.8,1,0.844,19,74000,24,3453,76.2,1
R100200,16,23,511,15911,0.296,0.854,124.1,1,0.867,9,79000,24,3687,71.3,0
R100201,7,28,571,16878,0.122,0.824,158.8,2,0.928,4,105000,12,9800,76.0,1
R100202,8,24,498,13981,0.292,0.859,123.9,1,0.883,5,77000,24,3593,66.8,1
R100203,11,23,451,12276,0.239,0.765,114.8,1,0.924,9,108000,30,4032,68.4,1
R100204,8,21,562,13729,0.157,0.844,140.4,0,0.959,7,76000,18,4729,75.9,1
R100205,25,23,603,18611,0.361,0.827,137.6,1,0.891,19,59000,24,2753,74.9,1
R100206,15,20,391,8106,0.205,0.807,130.9,0,0.911,13,66000,36,2053,72.0,1
R100207,18,20,403,8000,0.291,0.814,129.7,2,0.849,10,86000,18,5351,68.9,1
R100208,19,27,643,13418,0.117,0.87,175.0,1,0.968,15,89000,24,4153,87.4,1
R100209,15,16,260,9062,0.292,0.75,102.8,2,0.773,10,94000,30,3509,61.3,0
R100210,17,30,638,15741,0.174,0.866,129.6,2,0.851,10,56000,24,2613,81.5,1
R100211,24,23,748,17770,0.243,0.844,129.2,1,0.888,20,92000,24,4293,85.1,1
R100212,17,12,271,8000,0.342,0.699,105.7,3,0.779,11,120000,30,4480,58.9,0
R100213,5,23,700,21168,0.273,0.833,103.5,1,0.81,4,58000,24,2707,69.1,1
R100214,30,22,278,8223,0.461,0.543,101.5,2,0.764,18,97000,24,4527,53.1,0
R100215,2,16,518,13820,0.374,0.874,130.4,1,0.887,2,66000,30,2464,59.7,1
R100216,15,25,437,11352,0.289,0.73,139.3,1,0.849,11,64000,30,2389,65.9,0
R100217,12,22,599,10244,0.139,0.886,145.7,1,0.899,8,102000,24,4760,80.6,1
R100218,8,24,464,14558,0.142,0.95,140.8,0,0.93,4,102000,18,6347,76.3,1
R100219,19,18,395,14068,0.215,0.811,111.5,1,0.821,15,94000,30,3509,73.2,0
R100220,10,24,567,16870,0.311,0.763,106.9,3,0.839,7,91000,36,2831,65.7,1
R100221,15,18,309,8000,0.43,0.673,84.0,2,0.791,12,60000,18,3733,53.6,0
R100222,4,25,455,11262,0.354,0.73,103.5,2,0.767,4,89000,24,4153,55.5,0
R100223,21,21,450,12162,0.387,0.963,156.9,1,0.913,12,58000,30,2165,71.6,0
R100224,20,25,605,19425,0.197,0.815,147.2,0,0.947,17,65000,36,2022,81.4,1
R100225,11,16,335,8000,0.228,0.753,136.8,2,0.855,8,77000,24,3593,64.9,1
R100226,6,28,627,15267,0.323,0.642,118.6,1,0.842,4,77000,24,3593,60.9,0
R100227,22,29,656,17711,0.122,0.941,137.9,1,0.887,15,65000,24,3033,90.4,1
R100228,3,29,726,25911,0.278,0.791,137.9,1,0.871,2,64000,30,2389,67.8,1
R100229,12,29,550,18920,0.203,0.914,162.6,2,0.847,7,66000,24,3080,75.8,0
R100230,9,19,382,9423,0.22,0.81,121.1,3,0.842,7,69000,36,2147,66.5,0
R100231,14,21,444,15997,0.384,0.821,112.4,1,0.866,8,69000,30,2576,63.3,0
R100232,9,23,478,15579,0.237,0.803,142.1,1,0.801,6,117000,18,7280,67.3,1
R100233,19,24,408,14950,0.231,0.836,109.4,2,0.866,14,47000,36,1462,73.9,0
R100234,5,19,576,19318,0.169,0.884,137.0,1,0.784,3,57000,30,2128,72.5,1
R100235,22,20,587,24685,0.262,0.845,137.5,1,0.815,16,61000,24,2847,78.3,0
R100236,10,14,381,10909,0.516,0.635,106.2,2,0.805,5,82000,24,3827,46.9,0
R100237,8,20,474,13639,0.304,0.868,107.4,2,0.878,5,113000,24,5273,65.3,0
R100238,14,21,485,15765,0.355,0.837,137.4,1,0.847,10,75000,24,3500,65.9,0
R100239,19,25,604,14835,0.142,0.795,149.9,0,0.975,13,76000,36,2364,83.2,1
R100240,10,25,733,29753,0.267,0.855,136.3,0,0.942,7,71000,18,4418,75.3,1
R100241,10,18,533,14106,0.235,0.783,147.6,1,0.84,8,82000,24,3827,69.5,1
R100242,6,23,535,11772,0.122,1.0,167.4,0,0.914,6,57000,30,2128,79.2,0
R100243,2,21,561,17496,0.286,0.84,140.8,1,0.82,2,67000,30,2501,63.9,0
R100244,7,27,722,22780,0.329,0.827,145.9,0,0.956,7,67000,24,3127,69.7,0
R100245,11,26,755,21715,0.153,0.828,134.4,1,0.896,10,89000,18,5538,81.7,0
R100246,9,27,526,15235,0.212,0.925,142.6,0,0.885,4,65000,36,2022,73.5,0
R100247,9,20,494,14674,0.129,0.881,138.6,1,0.853,7,79000,30,2949,75.7,0
R100248,5,26,674,11684,0.121,1.0,134.3,0,0.936,3,74000,30,2763,81.9,1
R100249,5,17,462,8621,0.516,0.654,127.1,3,0.859,3,63000,24,2940,46.7,0
R100250,4,22,453,10838,0.188,0.895,163.1,1,0.882,3,89000,30,3323,69.6,0
R100251,11,24,623,12173,0.209,0.816,150.7,1,0.885,11,55000,30,2053,75.2,0
R100252,15,22,589,17862,0.292,0.84,145.5,2,0.865,10,96000,24,4480,72.3,1
R100253,12,20,491,14291,0.234,0.723,104.9,1,0.831,10,94000,24,4387,67.9,0
R100254,15,25,724,23027,0.241,0.825,137.6,0,0.927,9,107000,18,6658,79.0,0
R100255,5,21,451,10230,0.271,0.898,162.4,0,0.929,3,67000,24,3127,66.1,1
R100256,11,22,519,16634,0.226,0.823,141.7,2,0.825,8,85000,12,7933,70.9,1
R100257,8,20,537,16449,0.383,0.851,137.5,2,0.856,7,60000,18,3733,62.1,0
R100258,10,17,465,15108,0.267,0.683,115.9,2,0.745,8,82000,30,3061,62.4,0
R100259,3,19,558,19808,0.191,0.986,176.5,0,0.9,2,73000,30,2725,73.7,0
R100260,4,17,328,8000,0.443,0.789,93.2,3,0.779,2,67000,36,2084,49.3,1
R100261,11,28,695,27035,0.272,1.0,168.0,0,0.954,7,62000,36,1929,78.8,0
R100262,6,26,677,15293,0.183,0.837,121.7,1,0.892,4,101000,24,4713,75.2,0
R100263,6,23,503,15031,0.185,0.945,136.4,0,0.962,5,73000,18,4542,74.3,1
R100264,9,16,362,13319,0.347,0.746,93.6,2,0.792,8,90000,36,2800,57.3,0
R100265,15,20,496,14685,0.202,0.76,116.1,3,0.785,10,86000,18,5351,72.1,0
R100266,18,26,720,23351,0.259,0.837,160.3,2,0.818,14,49000,24,2287,79.2,1
R100267,3,28,644,14337,0.267,0.859,125.8,1,0.873,1,67000,36,2084,68.1,1
R100268,7,15,282,8777,0.35,0.622,63.9,2,0.753,6,67000,18,4169,50.6,0
R100269,12,20,533,11488,0.263,0.905,117.1,2,0.834,11,95000,24,4433,72.3,0
R100270,14,19,406,11825,0.389,0.616,75.8,2,0.719,11,70000,24,3267,55.4,1
R100271,17,22,491,13481,0.203,0.771,80.7,1,0.873,11,105000,18,6533,74.7,1
R100272,13,23,561,13142,0.257,0.872,139.9,1,0.918,9,85000,24,3967,74.1,1
R100273,7,16,260,8000,0.277,0.66,103.0,2,0.752,6,72000,24,3360,54.3,0
R100274,12,15,332,9327,0.297,0.784,98.8,3,0.691,7,60000,36,1867,60.9,1
R100275,11,24,390,12129,0.255,0.772,130.5,1,0.889,8,104000,18,6471,65.6,0
R100276,4,23,485,12058,0.427,0.742,124.2,1,0.737,2,77000,36,2396,52.4,0
R100277,6,21,470,14177,0.338,0.884,151.0,1,0.861,3,71000,30,2651,62.7,0
R100278,13,30,502,10570,0.321,0.865,151.2,0,0.992,6,109000,24,5087,69.5,1
R100279,17,25,773,17320,0.191,0.931,125.4,0,0.89,11,101000,12,9427,86.6,1
R100280,7,21,407,8471,0.263,0.843,136.9,2,0.852,6,71000,36,2209,64.6,0
R100281,32,21,437,12215,0.245,0.999,127.8,0,0.87,25,56000,12,5227,80.9,1
R100282,1,18,355,13369,0.263,0.805,139.0,2,0.833,1,60000,36,1867,58.3,0
R100283,10,21,491,19459,0.352,0.797,153.4,1,0.896,5,75000,18,4667,63.3,1
R100284,11,20,492,11975,0.401,0.727,108.1,2,0.766,7,70000,18,4356,58.2,0
R100285,20,29,644,19393,0.356,0.774,134.0,2,0.719,14,78000,24,3640,70.4,0
R100286,6,23,588,22603,0.249,0.848,107.6,2,0.82,3,40000,18,2489,69.2,0
R100287,7,21,321,9545,0.399,0.731,127.2,2,0.705,6,58000,12,5413,51.1,0
R100288,7,22,538,15461,0.197,0.799,101.2,0,0.911,5,60000,36,1867,71.0,0
R100289,19,22,576,10129,0.455,0.751,150.6,2,0.795,13,83000,30,3099,63.2,0
R100290,21,21,618,17804,0.277,0.886,152.5,1,0.735,10,82000,24,3827,77.8,1
R100291,8,23,607,14981,0.198,0.903,150.3,0,0.925,6,87000,12,8120,75.9,0
R100292,5,30,895,26244,0.257,0.933,143.1,0,0.899,4,52000,24,2427,76.4,1
